Time (ns),Distance (Å)
17.440,4.014
17.450,4.320
17.460,3.890
17.470,3.678
17.480,4.042
17.490,4.319
17.500,4.094
17.510,4.232
17.520,3.900
17.530,4.664
17.540,4.776
17.550,4.129
17.560,4.543
17.570,3.922
17.580,4.140
17.590,4.647
17.600,4.476
17.610,4.260
17.620,4.364
17.630,4.187
17.640,4.272
17.650,4.670
17.660,4.136
17.670,4.725
17.680,4.454
17.690,4.101
17.700,4.648
17.710,4.375
17.720,4.451
17.730,4.169
17.740,4.283
17.750,4.531
17.760,4.475
17.770,4.154
17.780,4.464
17.790,4.034
17.800,4.201
17.810,4.304
17.820,4.154
17.830,4.240
17.840,4.439
17.850,4.377
17.860,4.408
17.870,4.545
17.880,4.375
17.890,4.590
17.900,4.952
17.910,4.141
17.920,3.908
17.930,4.105
17.940,4.306
17.950,4.366
17.960,4.545
17.970,4.345
17.980,4.517
17.990,4.429
18.000,4.388
18.010,4.035
18.020,4.025
18.030,4.004
18.040,4.052
18.050,4.136
18.060,4.039
18.070,4.052
18.080,4.404
18.090,4.900
18.100,4.864
18.110,4.904
18.120,4.720
18.130,4.109
18.140,4.531
18.150,4.304
18.160,4.535
18.170,4.292
18.180,4.655
18.190,4.374
18.200,4.260
18.210,4.494
18.220,4.211
18.230,4.036
18.240,4.126
18.250,4.392
18.260,4.579
18.270,4.446
18.280,4.519
18.290,4.364
18.300,4.261
18.310,4.315
18.320,4.550
18.330,4.525
18.340,3.963
18.350,4.313
18.360,4.181
18.370,4.263
18.380,4.661
18.390,4.843
18.400,3.962
18.410,4.386
18.420,4.132
18.430,4.425
18.440,4.286
18.450,3.805
18.460,4.331
18.470,4.445
18.480,4.012
18.490,3.898
18.500,3.880
18.510,4.187
18.520,4.400
18.530,4.427
18.540,4.329
18.550,4.298
18.560,4.341
18.570,3.919
18.580,4.818
18.590,4.218
18.600,3.943
18.610,4.234
18.620,3.928
18.630,4.208
18.640,4.131
18.650,3.850
18.660,4.401
18.670,4.269
18.680,4.252
18.690,4.294
18.700,4.393
18.710,4.220
18.720,3.967
18.730,4.406
18.740,4.640
18.750,4.700
18.760,4.391
18.770,4.912
18.780,4.267
18.790,4.016
18.800,3.882
18.810,4.270
18.820,4.054
18.830,4.286
18.840,4.360
18.850,4.040
18.860,4.780
18.870,4.739
18.880,4.534
18.890,4.279
18.900,4.556
18.910,4.780
18.920,4.161
18.930,3.993
18.940,4.739
18.950,4.183
18.960,3.764
18.970,3.986
18.980,4.270
18.990,4.133
19.000,4.155
19.010,4.846
19.020,4.516
19.030,4.574
19.040,4.105
19.050,4.260
19.060,4.229
19.070,4.445
19.080,3.843
19.090,4.543
19.100,4.798
19.110,4.171
19.120,4.393
19.130,4.570
19.140,4.031
19.150,4.332
19.160,4.288
19.170,3.905
19.180,4.417
19.190,4.235
19.200,4.250
19.210,4.275
19.220,4.249
19.230,3.621
19.240,4.563
19.250,4.338
19.260,4.369
19.270,3.874
19.280,4.382
19.290,4.283
19.300,4.537
19.310,4.274
19.320,4.424
19.330,4.039
19.340,4.613
19.350,4.340
19.360,4.006
19.370,4.166
19.380,4.270
19.390,4.708
19.400,4.412
19.410,4.001
19.420,4.428
19.430,4.564
19.440,4.511
19.450,4.164
19.460,4.101
19.470,4.380
19.480,4.338
19.490,4.146
19.500,4.338
19.510,5.023
19.520,4.474
19.530,4.581
19.540,4.246
19.550,3.969
19.560,4.394
19.570,4.014
19.580,3.996
19.590,4.690
19.600,4.773
19.610,4.240
19.620,4.421
19.630,4.086
19.640,4.357
19.650,4.374
19.660,4.073
19.670,3.844
19.680,3.867
19.690,4.030
19.700,4.209
19.710,4.266
19.720,4.481
19.730,4.330
19.740,4.148
19.750,4.069
19.760,4.393
19.770,4.593
19.780,4.084
19.790,4.353
19.800,4.136
19.810,4.670
19.820,4.087
19.830,4.431
19.840,4.454
19.850,4.384
19.860,4.357
19.870,4.262
19.880,4.635
19.890,4.517
19.900,4.322
19.910,4.302
19.920,4.230
19.930,4.452
19.940,4.302
19.950,4.922
19.960,4.712
19.970,4.187
19.980,4.519
19.990,4.302
20.000,4.333
20.010,4.197
20.020,4.361
20.030,4.279
20.040,4.757
20.050,4.088
20.060,4.401
20.070,4.212
20.080,4.256
20.090,4.327
20.100,4.168
20.110,3.994
20.120,4.220
20.130,4.439
20.140,3.943
20.150,4.428
20.160,3.969
20.170,3.912
20.180,4.600
20.190,3.756
20.200,3.858
20.210,4.028
20.220,4.776
20.230,4.415
20.240,4.477
20.250,4.143
20.260,4.020
20.270,4.123
20.280,4.112
20.290,3.991
20.300,4.316
20.310,4.238
20.320,4.171
20.330,4.810
20.340,4.396
20.350,4.662
20.360,4.251
20.370,3.869
20.380,3.964
20.390,3.897
20.400,3.909
20.410,4.028
20.420,4.298
20.430,3.843
20.440,4.267
20.450,4.471
20.460,3.978
20.470,3.898
20.480,3.956
20.490,3.529
20.500,4.086
20.510,4.136
20.520,4.005
20.530,4.199
20.540,4.010
20.550,3.554
20.560,3.905
20.570,3.894
20.580,3.803
20.590,4.131
20.600,3.790
20.610,4.713
20.620,4.232
20.630,4.352
20.640,3.741
20.650,4.280
20.660,4.059
20.670,3.621
20.680,4.162
20.690,4.257
20.700,4.598
20.710,4.321
20.720,4.052
20.730,4.090
20.740,4.239
20.750,3.873
20.760,3.616
20.770,4.158
20.780,3.807
20.790,3.931
20.800,4.217
20.810,3.705
20.820,3.851
20.830,4.082
20.840,3.803
20.850,4.299
20.860,4.185
20.870,3.977
20.880,3.667
20.890,4.247
20.900,4.121
20.910,4.336
20.920,4.398
20.930,4.484
20.940,4.542
20.950,4.076
20.960,3.948
20.970,4.348
20.980,4.224
20.990,4.283
21.000,3.959
21.010,3.940
21.020,4.488
21.030,4.285
21.040,4.082
21.050,3.880
21.060,3.736
21.070,4.618
21.080,4.489
21.090,4.700
21.100,4.020
21.110,4.512
21.120,4.792
21.130,4.430
21.140,4.222
21.150,4.690
21.160,4.680
21.170,4.461
21.180,4.002
21.190,4.400
21.200,4.166
21.210,4.153
21.220,4.180
21.230,4.318
21.240,4.133
21.250,4.367
21.260,4.421
21.270,4.251
21.280,4.402
21.290,4.123
21.300,4.569
21.310,4.175
21.320,4.248
21.330,4.529
21.340,4.122
21.350,3.823
21.360,4.187
21.370,3.757
21.380,4.332
21.390,4.043
21.400,4.383
21.410,4.276
21.420,4.356
21.430,4.224
21.440,4.440
21.450,4.480
21.460,3.791
21.470,4.442
21.480,4.362
21.490,4.051
21.500,4.140
21.510,4.209
21.520,4.245
21.530,4.490
21.540,3.880
21.550,4.284
21.560,3.793
21.570,3.973
21.580,3.713
21.590,3.743
21.600,3.984
21.610,4.647
21.620,3.755
21.630,3.995
21.640,3.938
21.650,3.664
21.660,4.286
21.670,4.204
21.680,3.860
21.690,4.052
21.700,4.021
21.710,4.101
21.720,3.665
21.730,4.322
21.740,4.289
21.750,4.400
21.760,4.123
21.770,3.989
21.780,4.377
21.790,4.258
21.800,4.310
21.810,4.204
21.820,4.255
21.830,4.540
21.840,3.981
21.850,4.267
21.860,4.013
21.870,3.799
21.880,4.405
21.890,3.781
21.900,3.554
21.910,3.986
21.920,4.354
21.930,4.343
21.940,4.447
21.950,4.259
21.960,4.316
21.970,4.425
21.980,4.511
21.990,3.988
22.000,4.183
22.010,4.143
22.020,4.494
22.030,4.242
22.040,4.168
22.050,4.289
22.060,4.161
22.070,4.258
22.080,4.419
22.090,4.694
22.100,4.401
22.110,4.572
22.120,4.385
22.130,4.252
22.140,4.117
22.150,4.152
22.160,4.219
22.170,4.233
22.180,4.210
22.190,3.747
22.200,3.853
22.210,3.624
22.220,4.711
22.230,4.308
22.240,4.193
22.250,4.687
22.260,4.599
22.270,4.109
22.280,4.125
22.290,4.192
22.300,4.214
22.310,4.118
22.320,3.927
22.330,4.268
22.340,4.477
22.350,4.517
22.360,3.894
22.370,4.416
22.380,4.427
22.390,4.355
22.400,4.115
22.410,4.445
22.420,3.956
22.430,4.058
22.440,4.363
22.450,4.551
22.460,3.643
22.470,4.105
22.480,4.458
22.490,4.364
22.500,4.599
22.510,4.141
22.520,4.119
22.530,3.946
22.540,3.839
22.550,4.373
22.560,4.797
22.570,4.102
22.580,4.411
22.590,4.741
22.600,4.420
22.610,4.620
22.620,4.400
22.630,4.018
22.640,4.278
22.650,4.483
22.660,4.343
22.670,4.804
22.680,4.270
22.690,4.725
22.700,4.615
22.710,4.260
22.720,4.526
22.730,4.293
22.740,4.492
22.750,4.158
22.760,4.839
22.770,4.593
22.780,4.960
22.790,4.387
22.800,4.523
22.810,4.378
22.820,4.725
22.830,4.278
22.840,4.324
22.850,4.637
22.860,4.631
22.870,4.860
22.880,4.606
22.890,4.869
22.900,4.879
22.910,4.627
22.920,4.674
22.930,4.460
22.940,4.459
22.950,4.660
22.960,4.549
22.970,4.475
22.980,4.669
22.990,4.434
23.000,4.640
23.010,4.025
23.020,4.144
23.030,4.455
23.040,4.589
23.050,4.512
23.060,4.201
23.070,4.595
23.080,4.187
23.090,4.085
23.100,4.710
23.110,4.530
23.120,4.540
23.130,4.254
23.140,4.259
23.150,4.283
23.160,4.433
23.170,4.486
23.180,4.545
23.190,4.670
23.200,4.437
23.210,4.313
23.220,4.413
23.230,4.367
23.240,4.273
23.250,4.763
23.260,4.282
23.270,4.432
23.280,4.414
23.290,4.805
23.300,4.177
23.310,4.202
23.320,4.147
23.330,4.724
23.340,4.403
23.350,5.102
23.360,4.339
23.370,4.522
23.380,4.376
23.390,4.504
23.400,4.395
23.410,3.849
23.420,4.331
23.430,4.271
23.440,4.196
23.450,4.612
23.460,4.860
23.470,4.729
23.480,4.419
23.490,3.928
23.500,4.905
23.510,4.499
23.520,4.075
23.530,4.424
23.540,3.544
23.550,4.988
23.560,4.518
23.570,4.380
23.580,4.305
23.590,4.373
23.600,4.063
23.610,3.870
23.620,3.878
23.630,4.307
23.640,4.317
23.650,4.216
23.660,4.053
23.670,4.644
23.680,4.411
23.690,3.567
23.700,4.067
23.710,4.181
23.720,3.756
23.730,4.516
23.740,3.817
23.750,4.273
23.760,3.851
23.770,4.285
23.780,4.516
23.790,3.889
23.800,4.167
23.810,4.702
23.820,4.116
23.830,4.568
23.840,4.721
23.850,4.632
23.860,4.128
23.870,4.632
23.880,4.258
23.890,4.073
23.900,4.273
23.910,4.720
23.920,4.502
23.930,4.321
23.940,4.662
23.950,4.444
23.960,4.617
23.970,4.251
23.980,4.264
23.990,4.233
24.000,3.860
24.010,4.410
24.020,4.081
24.030,4.581
24.040,4.564
24.050,4.915
24.060,4.667
24.070,4.676
24.080,4.788
24.090,4.777
24.100,4.789
24.110,4.376
24.120,4.632
24.130,4.689
24.140,4.918
24.150,4.799
24.160,4.829
24.170,4.526
24.180,4.383
24.190,4.608
24.200,4.302
24.210,4.866
24.220,4.375
24.230,4.516
24.240,4.385
24.250,5.053
24.260,4.433
24.270,4.615
24.280,5.127
24.290,4.586
24.300,5.279
24.310,5.167
24.320,4.836
24.330,4.649
24.340,4.637
24.350,4.641
24.360,5.075
24.370,4.782
24.380,4.668
24.390,4.719
24.400,4.366
24.410,4.642
24.420,4.496
24.430,4.680
24.440,4.579
24.450,4.500
24.460,4.528
24.470,4.762
24.480,4.782
24.490,4.953
24.500,5.004
24.510,5.014
24.520,5.376
24.530,4.691
24.540,4.906
24.550,4.406
24.560,5.254
24.570,4.554
24.580,4.609
24.590,4.161
24.600,4.555
24.610,4.571
24.620,4.165
24.630,4.414
24.640,4.261
24.650,4.387
24.660,4.784
24.670,4.208
24.680,4.499
24.690,4.762
24.700,4.213
24.710,4.676
24.720,4.910
24.730,4.459
24.740,4.786
24.750,4.842
24.760,4.675
24.770,4.782
24.780,4.662
24.790,4.665
24.800,4.717
24.810,4.735
24.820,4.467
24.830,4.985
24.840,4.474
24.850,4.896
24.860,4.371
24.870,4.568
24.880,4.525
24.890,4.602
24.900,4.348
24.910,4.871
24.920,4.818
24.930,4.462
24.940,4.617
24.950,3.907
24.960,4.632
24.970,4.284
24.980,4.896
24.990,4.615
25.000,4.679
25.010,4.265
25.020,4.752
25.030,4.753
25.040,4.796
25.050,4.510
25.060,5.214
25.070,4.409
25.080,4.747
25.090,4.944
25.100,4.428
25.110,4.741
25.120,4.770
25.130,4.460
25.140,4.431
25.150,4.859
25.160,4.811
25.170,3.830
25.180,4.473
25.190,4.634
25.200,4.857
25.210,4.565
25.220,4.613
25.230,4.439
25.240,4.606
25.250,4.905
25.260,4.888
25.270,4.432
25.280,5.113
25.290,4.372
25.300,4.355
25.310,4.268
25.320,4.614
25.330,4.475
25.340,4.630
25.350,4.317
25.360,4.849
25.370,4.407
25.380,4.470
25.390,5.102
25.400,4.855
25.410,5.243
25.420,5.235
25.430,4.656
25.440,4.294
25.450,4.564
25.460,4.516
25.470,4.348
25.480,4.408
25.490,4.390
25.500,4.812
25.510,4.896
25.520,4.892
25.530,4.622
25.540,4.812
25.550,4.728
25.560,4.626
25.570,4.706
25.580,4.222
25.590,4.490
25.600,4.093
25.610,3.950
25.620,4.103
25.630,4.754
25.640,4.180
25.650,4.335
25.660,4.401
25.670,3.924
25.680,4.173
25.690,4.441
25.700,4.778
25.710,4.788
25.720,4.448
25.730,4.425
25.740,4.096
25.750,3.848
25.760,3.948
25.770,4.345
25.780,3.986
25.790,4.610
25.800,4.049
25.810,4.021
25.820,4.384
25.830,3.727
25.840,3.971
25.850,4.513
25.860,4.223
25.870,4.666
25.880,4.098
25.890,3.867
25.900,4.553
25.910,4.304
25.920,4.212
25.930,3.976
25.940,4.144
25.950,4.994
25.960,4.536
25.970,4.938
25.980,3.872
25.990,4.257
26.000,4.818
26.010,4.515
26.020,4.132
26.030,4.610
26.040,4.787
26.050,4.158
26.060,4.181
26.070,4.308
26.080,4.168
26.090,4.487
26.100,4.712
26.110,4.298
26.120,4.289
26.130,4.688
26.140,4.442
26.150,4.375
26.160,4.977
26.170,4.028
26.180,4.359
26.190,4.431
26.200,5.132
26.210,4.387
26.220,4.432
26.230,3.951
26.240,4.145
26.250,5.147
26.260,4.096
26.270,4.183
26.280,4.320
26.290,4.407
26.300,4.016
26.310,4.339
26.320,3.777
26.330,4.662
26.340,4.581
26.350,4.299
26.360,4.345
26.370,4.699
26.380,4.559
26.390,4.455
26.400,4.367
26.410,3.906
26.420,4.714
26.430,4.899
26.440,4.992
26.450,4.567
26.460,4.474
26.470,4.813
26.480,4.553
26.490,4.886
26.500,4.276
26.510,4.069
26.520,4.676
26.530,4.546
26.540,3.943
26.550,4.023
26.560,5.044
26.570,4.905
26.580,4.885
26.590,4.515
26.600,4.582
26.610,4.420
26.620,4.878
26.630,4.728
26.640,4.738
26.650,4.836
26.660,4.716
26.670,4.255
26.680,4.527
26.690,4.479
26.700,4.783
26.710,4.617
26.720,4.686
26.730,4.426
26.740,4.648
26.750,4.649
26.760,4.983
26.770,4.525
26.780,4.478
26.790,5.015
26.800,4.897
26.810,4.922
26.820,4.446
26.830,4.974
26.840,4.455
26.850,4.429
26.860,4.667
26.870,4.720
26.880,4.798
26.890,4.864
26.900,4.628
26.910,4.615
26.920,4.982
26.930,4.585
26.940,4.378
26.950,4.463
26.960,5.103
26.970,4.558
26.980,4.399
26.990,4.405
27.000,4.536
27.010,4.722
27.020,4.647
27.030,4.134
27.040,4.627
27.050,4.655
27.060,4.551
27.070,4.254
27.080,4.714
27.090,4.513
27.100,4.860
27.110,4.782
27.120,4.393
27.130,4.707
27.140,4.189
27.150,4.367
27.160,4.357
27.170,4.504
27.180,4.361
27.190,4.498
27.200,4.597
27.210,4.466
27.220,4.748
27.230,4.364
27.240,4.893
27.250,4.689
27.260,4.460
27.270,4.559
27.280,5.348
27.290,4.589
27.300,4.508
27.310,4.478
27.320,4.667
27.330,4.590
27.340,4.690
27.350,4.718
27.360,4.568
27.370,4.757
27.380,4.733
27.390,4.503
27.400,4.585
27.410,5.006
27.420,4.747
27.430,4.373
27.440,4.986
27.450,4.416
27.460,4.879
27.470,4.664
27.480,4.421
27.490,4.353
27.500,4.271
27.510,4.306
27.520,4.985
27.530,4.561
27.540,4.588
27.550,4.618
27.560,4.539
27.570,4.521
27.580,4.459
27.590,4.578
27.600,4.614
27.610,4.224
27.620,4.420
27.630,4.452
27.640,4.281
27.650,4.341
27.660,4.453
27.670,4.858
27.680,4.200
27.690,4.479
27.700,4.998
27.710,4.227
27.720,4.200
27.730,4.509
27.740,4.227
27.750,4.470
27.760,4.213
27.770,4.822
27.780,4.517
27.790,4.563
27.800,4.825
27.810,4.345
27.820,4.212
27.830,4.881
27.840,4.207
27.850,3.841
27.860,3.843
27.870,4.447
27.880,4.261
27.890,4.298
27.900,4.916
27.910,4.695
27.920,4.715
27.930,4.507
27.940,4.580
27.950,4.690
27.960,4.396
27.970,4.384
27.980,3.997
27.990,5.083
28.000,4.750
28.010,4.135
28.020,4.115
28.030,4.543
28.040,4.809
28.050,4.191
28.060,4.108
28.070,4.595
28.080,4.681
28.090,4.285
28.100,4.349
28.110,4.537
28.120,3.962
28.130,4.400
28.140,5.123
28.150,4.582
28.160,4.862
28.170,4.909
28.180,4.846
28.190,4.985
28.200,4.791
28.210,4.976
28.220,4.663
28.230,4.550
28.240,4.478
28.250,4.797
28.260,4.540
28.270,4.493
28.280,4.713
28.290,4.754
28.300,4.853
28.310,4.542
28.320,4.601
28.330,4.439
28.340,4.575
28.350,4.390
28.360,4.794
28.370,4.970
28.380,4.505
28.390,5.270
28.400,4.806
28.410,4.874
28.420,4.868
28.430,5.128
28.440,5.081
28.450,4.796
28.460,4.902
28.470,4.884
28.480,4.437
28.490,4.509
28.500,5.090
28.510,4.712
28.520,5.197
28.530,4.281
28.540,4.849
28.550,4.861
28.560,4.652
28.570,5.019
28.580,4.354
28.590,5.059
28.600,4.222
28.610,4.418
28.620,4.329
28.630,3.556
28.640,4.999
28.650,4.964
28.660,4.543
28.670,4.029
28.680,4.584
28.690,4.461
28.700,4.692
28.710,4.001
28.720,4.356
28.730,4.727
28.740,4.496
28.750,5.124
28.760,4.672
28.770,4.713
28.780,4.441
28.790,4.454
28.800,4.334
28.810,4.540
28.820,4.305
28.830,5.233
28.840,4.430
28.850,5.140
28.860,4.872
28.870,4.644
28.880,4.624
28.890,4.703
28.900,4.602
28.910,4.458
28.920,5.001
28.930,4.897
28.940,4.007
28.950,4.573
28.960,4.378
28.970,4.886
28.980,4.202
28.990,4.152
29.000,4.509
29.010,4.709
29.020,4.752
29.030,4.467
29.040,4.501
29.050,4.054
29.060,4.178
29.070,4.532
29.080,4.856
29.090,4.685
29.100,5.090
29.110,4.897
29.120,4.603
29.130,4.571
29.140,4.631
29.150,4.862
29.160,4.799
29.170,4.905
29.180,4.280
29.190,4.858
29.200,4.255
29.210,4.415
29.220,4.407
29.230,4.689
29.240,4.397
29.250,4.390
29.260,3.895
29.270,4.511
29.280,4.791
29.290,4.467
29.300,4.128
29.310,4.502
29.320,4.561
29.330,4.240
29.340,4.627
29.350,4.839
29.360,4.700
29.370,4.587
29.380,4.315
29.390,4.157
29.400,4.700
29.410,4.832
29.420,4.801
29.430,4.756
29.440,4.574
29.450,4.848
29.460,4.334
29.470,4.242
29.480,4.731
29.490,4.254
29.500,4.560
29.510,4.679
29.520,4.665
29.530,4.191
29.540,4.488
29.550,4.708
29.560,4.656
29.570,4.405
29.580,4.781
29.590,4.762
29.600,5.026
29.610,4.638
29.620,4.557
29.630,4.090
29.640,4.966
29.650,3.939
29.660,4.719
29.670,4.431
29.680,4.266
29.690,4.311
29.700,4.780
29.710,4.813
29.720,4.580
29.730,4.717
29.740,4.691
29.750,4.368
29.760,4.672
29.770,4.865
29.780,4.308
29.790,4.848
29.800,4.700
29.810,4.480
29.820,4.792
29.830,4.999
29.840,4.799
29.850,4.600
29.860,4.651
29.870,4.446
29.880,4.330
29.890,5.109
29.900,4.241
29.910,4.574
29.920,3.978
29.930,4.788
29.940,4.283
29.950,4.713
29.960,4.628
29.970,4.563
29.980,3.961
29.990,4.426
30.000,3.938
30.010,4.385
30.020,4.495
30.030,4.719
30.040,4.645
30.050,4.213
30.060,4.504
30.070,3.800
30.080,4.662
30.090,4.128
30.100,4.332
30.110,4.036
30.120,4.470
30.130,4.520
30.140,4.634
30.150,4.727
30.160,4.504
30.170,4.516
30.180,4.356
30.190,4.531
30.200,4.367
30.210,5.052
30.220,4.532
30.230,4.654
30.240,4.428
30.250,4.624
30.260,5.178
30.270,4.974
30.280,4.554
30.290,5.106
30.300,4.857
30.310,4.382
30.320,4.881
30.330,4.301
30.340,4.944
30.350,3.976
30.360,4.592
30.370,4.537
30.380,4.452
30.390,5.192
30.400,4.849
30.410,4.697
30.420,4.728
30.430,4.661
30.440,4.486
30.450,4.686
30.460,4.632
30.470,4.321
30.480,4.796
30.490,4.617
30.500,4.631
30.510,4.831
30.520,4.908
30.530,4.471
30.540,4.639
30.550,4.907
30.560,4.635
30.570,4.662
30.580,4.524
30.590,4.522
30.600,4.444
30.610,4.632
30.620,4.671
30.630,4.355
30.640,4.875
30.650,4.902
30.660,4.827
30.670,4.516
30.680,4.641
30.690,4.474
30.700,4.599
30.710,4.614
30.720,4.395
30.730,4.570
30.740,5.012
30.750,4.659
30.760,4.537
30.770,5.180
30.780,4.882
30.790,4.791
30.800,4.487
30.810,4.544
30.820,4.524
30.830,4.908
30.840,5.245
30.850,4.754
30.860,4.505
30.870,4.330
30.880,4.824
30.890,4.846
30.900,4.881
30.910,5.175
30.920,5.105
30.930,4.837
30.940,4.659
30.950,4.564
30.960,4.724
30.970,4.494
30.980,4.584
30.990,4.723
31.000,4.766
31.010,4.815
31.020,4.693
31.030,4.252
31.040,4.445
31.050,5.157
31.060,4.265
31.070,4.570
31.080,4.830
31.090,4.338
31.100,4.496
31.110,4.315
31.120,4.706
31.130,4.862
31.140,4.577
31.150,4.484
31.160,4.472
31.170,4.731
31.180,4.599
31.190,4.618
31.200,4.238
31.210,4.947
31.220,5.239
31.230,4.913
31.240,4.760
31.250,4.429
31.260,4.850
31.270,4.973
31.280,5.068
31.290,4.278
31.300,5.252
31.310,5.119
31.320,4.427
31.330,4.632
31.340,5.017
31.350,4.815
31.360,4.993
31.370,4.659
31.380,4.595
31.390,4.613
31.400,4.468
31.410,4.795
31.420,4.366
31.430,4.753
31.440,4.620
31.450,4.950
31.460,4.993
31.470,4.587
31.480,4.814
31.490,5.054
31.500,4.770
31.510,4.308
31.520,4.521
31.530,4.729
31.540,4.598
31.550,4.983
31.560,4.606
31.570,4.806
31.580,4.868
31.590,4.963
31.600,4.999
31.610,5.059
31.620,5.262
31.630,4.755
31.640,5.386
31.650,4.746
31.660,5.423
31.670,5.052
31.680,4.932
31.690,4.636
31.700,5.097
31.710,4.865
31.720,4.850
31.730,5.223
31.740,4.633
31.750,4.484
31.760,4.569
31.770,4.775
31.780,5.300
31.790,5.251
31.800,4.836
31.810,5.077
31.820,4.875
31.830,5.145
31.840,4.824
31.850,5.464
31.860,4.728
31.870,5.036
31.880,5.147
31.890,5.048
31.900,5.050
31.910,4.779
31.920,4.516
31.930,4.928
31.940,4.921
31.950,4.771
31.960,4.840
31.970,4.732
31.980,4.969
31.990,4.556
32.000,4.802
32.010,4.919
32.020,5.053
32.030,5.011
32.040,4.900
32.050,4.825
32.060,5.071
32.070,4.983
32.080,5.135
32.090,5.338
32.100,4.913
32.110,4.792
32.120,4.782
32.130,4.783
32.140,4.519
32.150,5.086
32.160,4.735
32.170,4.851
32.180,4.903
32.190,4.318
32.200,4.489
32.210,4.772
32.220,4.938
32.230,4.566
32.240,4.591
32.250,4.422
32.260,4.708
32.270,5.005
32.280,5.069
32.290,4.963
32.300,5.253
32.310,4.808
32.320,5.015
32.330,4.792
32.340,4.904
32.350,5.016
32.360,4.410
32.370,4.720
32.380,5.116
32.390,5.146
32.400,5.197
32.410,4.578
32.420,4.833
32.430,4.589
32.440,4.496
32.450,4.503
32.460,4.569
32.470,4.553
32.480,4.453
32.490,3.989
32.500,4.529
32.510,4.239
32.520,4.270
32.530,4.677
32.540,4.197
32.550,5.146
32.560,4.619
32.570,4.476
32.580,4.332
32.590,4.764
32.600,4.484
32.610,4.465
32.620,4.705
32.630,4.609
32.640,4.789
32.650,4.244
32.660,4.601
32.670,4.839
32.680,4.221
32.690,4.665
32.700,4.916
32.710,4.531
32.720,4.624
32.730,4.827
32.740,4.584
32.750,4.708
32.760,4.656
32.770,4.295
32.780,4.283
32.790,3.854
32.800,3.984
32.810,4.140
32.820,4.618
32.830,4.621
32.840,4.334
32.850,4.768
32.860,4.617
32.870,4.953
32.880,5.138
32.890,4.525
32.900,4.495
32.910,4.103
32.920,4.038
32.930,4.299
32.940,4.368
32.950,4.193
32.960,4.435
32.970,4.668
32.980,4.277
32.990,4.065
33.000,4.389
33.010,5.003
33.020,4.807
33.030,4.361
33.040,4.363
33.050,4.494
33.060,4.259
33.070,3.945
33.080,4.443
33.090,4.153
33.100,4.655
33.110,3.970
33.120,4.529
33.130,4.110
33.140,4.133
33.150,3.882
33.160,4.297
33.170,4.045
33.180,3.959
33.190,4.176
33.200,3.940
33.210,4.218
33.220,4.371
33.230,4.389
33.240,4.292
33.250,4.934
33.260,4.650
33.270,3.975
33.280,4.063
33.290,4.209
33.300,4.243
33.310,4.561
33.320,4.155
33.330,4.167
33.340,4.719
33.350,4.562
33.360,4.012
33.370,3.922
33.380,3.999
33.390,4.427
33.400,4.279
33.410,3.906
33.420,4.313
33.430,4.048
33.440,4.412
33.450,3.911
33.460,4.260
33.470,4.145
33.480,4.366
33.490,4.510
33.500,4.719
33.510,4.480
33.520,5.185
33.530,4.394
33.540,4.288
33.550,4.609
33.560,4.489
33.570,4.527
33.580,4.288
33.590,4.125
33.600,4.190
33.610,3.654
33.620,4.150
33.630,3.721
33.640,3.430
33.650,4.225
33.660,4.360
33.670,4.145
33.680,4.287
33.690,3.983
33.700,4.059
33.710,4.332
33.720,4.749
33.730,4.614
33.740,3.893
33.750,4.053
33.760,3.998
33.770,4.562
33.780,5.016
33.790,4.390
33.800,4.332
33.810,4.010
33.820,5.019
33.830,4.311
33.840,4.066
33.850,4.654
33.860,4.891
33.870,4.527
33.880,4.405
33.890,4.614
33.900,4.820
33.910,4.286
33.920,4.205
33.930,4.245
33.940,3.991
33.950,4.134
33.960,5.064
33.970,4.050
33.980,4.721
33.990,4.657
34.000,4.453
34.010,4.435
34.020,4.393
34.030,4.312
34.040,4.413
34.050,4.576
34.060,4.197
34.070,4.210
34.080,4.523
34.090,4.277
34.100,4.404
34.110,4.412
34.120,4.490
34.130,4.540
34.140,4.949
34.150,4.744
34.160,4.232
34.170,4.560
34.180,4.515
34.190,4.637
34.200,4.081
34.210,4.889
34.220,4.787
34.230,4.805
34.240,4.744
34.250,4.799
34.260,4.882
34.270,4.941
34.280,5.082
34.290,4.439
34.300,4.256
34.310,4.264
34.320,4.461
34.330,4.760
34.340,4.539
34.350,4.927
34.360,4.911
34.370,4.741
34.380,4.732
34.390,5.031
34.400,4.775
34.410,4.281
34.420,4.551
34.430,4.743
34.440,4.763
34.450,4.712
34.460,4.629
34.470,4.655
34.480,4.686
34.490,4.462
34.500,4.832
34.510,4.576
34.520,4.496
34.530,4.448
34.540,4.674
34.550,4.608
34.560,4.599
34.570,5.181
34.580,4.688
34.590,4.929
34.600,4.883
34.610,4.710
34.620,4.738
34.630,5.205
34.640,5.130
34.650,4.901
34.660,4.939
34.670,5.334
34.680,5.107
34.690,4.553
34.700,5.002
34.710,4.989
34.720,4.664
34.730,4.872
34.740,4.660
34.750,4.879
34.760,4.855
34.770,4.699
34.780,4.548
34.790,4.663
34.800,4.562
34.810,4.522
34.820,5.100
34.830,4.711
34.840,5.055
34.850,4.794
34.860,4.813
34.870,4.634
34.880,4.615
34.890,4.840
34.900,5.230
34.910,4.754
